Id,$$DeveloperName$NamespacePrefix$SobjectType
0121g0000026jUHAAY,Building;sustain_app;sustain_app__Asset__c
0121g0000026jUIAAY,General;sustain_app;sustain_app__Asset__c
0121g0000026jUJAAY,Vehicle;sustain_app;sustain_app__Asset__c
0121g0000026jUKAAY,CBECS;sustain_app;sustain_app__BuildingEnergyIntensity__c
0121g0000026jULAAY,CommercialBuilding;sustain_app;sustain_app__BuildingEnergyIntensity__c
0121g0000026jUMAAY,Data_Center_Facility;sustain_app;sustain_app__ConsumptionReport__c
0121g0000026jUNAAY,GeneralScope3;sustain_app;sustain_app__ConsumptionReport__c
0121g0000026jUOAAY,Procurement;sustain_app;sustain_app__ConsumptionReport__c
0121g0000026jUPAAY,Real_Estate_Facility;sustain_app;sustain_app__ConsumptionReport__c
0121g0000026jUQAAY,Travel;sustain_app;sustain_app__ConsumptionReport__c
0121g0000026jURAAY,Vehicles;sustain_app;sustain_app__ConsumptionReport__c
0121g0000026jUSAAY,CBECS;sustain_app;sustain_app__EmissionFactorOther__c
0121g0000026jUTAAY,Conversion_Factors;sustain_app;sustain_app__EmissionFactorOther__c
0121g0000026jUUAAY,Mobile_Fuels;sustain_app;sustain_app__EmissionFactorOther__c
0121g0000026jUVAAY,Refrigerants;sustain_app;sustain_app__EmissionFactorOther__c
0121g0000026jUWAAY,Air_Travel;sustain_app;sustain_app__EmissionFactorScope3__c
0121g0000026jUXAAY,EEIO;sustain_app;sustain_app__EmissionFactorScope3__c
0121g0000026jUYAAY,FreightHauling;sustain_app;sustain_app__EmissionFactorScope3__c
0121g0000026jUZAAY,Ground_Travel;sustain_app;sustain_app__EmissionFactorScope3__c
0121g0000026jUaAAI,Hotel;sustain_app;sustain_app__EmissionFactorScope3__c
0121g0000026jUbAAI,Rental_Car_Fuel_Efficiency;sustain_app;sustain_app__EmissionFactorScope3__c
0121g0000026jUcAAI,Travel;sustain_app;sustain_app__EmissionFactorScope3__c
0121g0000026jUdAAI,Air_Travel;sustain_app;sustain_app__EnergyConsumption__c
0121g0000026jUeAAI,Data_Center_Facility;sustain_app;sustain_app__EnergyConsumption__c
0121g0000026jUfAAI,Fleet_Vehicle;sustain_app;sustain_app__EnergyConsumption__c
0121g0000026jUgAAI,FreightHauling;sustain_app;sustain_app__EnergyConsumption__c
0121g0000026jUhAAI,Ground_Travel;sustain_app;sustain_app__EnergyConsumption__c
0121g0000026jUiAAI,Hotel_Stay;sustain_app;sustain_app__EnergyConsumption__c
0121g0000026jUjAAI,Private_Jet;sustain_app;sustain_app__EnergyConsumption__c
0121g0000026jUkAAI,Real_Estate_Facility;sustain_app;sustain_app__EnergyConsumption__c
0121g0000026jUlAAI,Rental_Car;sustain_app;sustain_app__EnergyConsumption__c
